sample-id,absolute-filepath,direction
1,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0001_good_1.fq,forward
1,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0001_good_2.fq,reverse
2,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0002_good_1.fq,forward
2,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0002_good_2.fq,reverse
3,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0003_good_1.fq,forward
3,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0003_good_2.fq,reverse
4,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0004_good_1.fq,forward
4,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0004_good_2.fq,reverse
5,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0005_good_1.fq,forward
5,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0005_good_2.fq,reverse
6,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0006_good_1.fq,forward
6,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0006_good_2.fq,reverse
7,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0007_good_1.fq,forward
7,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0007_good_2.fq,reverse
8,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0008_good_1.fq,forward
8,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0008_good_2.fq,reverse
9,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0009_good_1.fq,forward
9,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0009_good_2.fq,reverse
10,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0010_good_1.fq,forward
10,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0010_good_2.fq,reverse
11,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0011_good_1.fq,forward
11,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0011_good_2.fq,reverse
12,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0012_good_1.fq,forward
12,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0012_good_2.fq,reverse
13,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0013_good_1.fq,forward
13,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0013_good_2.fq,reverse
14,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0014_good_1.fq,forward
14,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0014_good_2.fq,reverse
15,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0015_good_1.fq,forward
15,/home/hp/Goldfish/Raw_data//Bacteria_CH128-001M0015_good_2.fq,reverse
