"Var1","Var2","Correlation","P_value"
"Specific.growth.rate","Final.weight",0.97933868786844,2.09108730331309e-10
"Feed.conversion.ratio","Final.weight",-0.572203062659005,0.0258155864915015
"Weight.gain","Final.weight",0.997308205077036,4.44089209850063e-16
"Percentage.weight.gain","Final.weight",0.97933868786844,2.09108730331309e-10
"Daily.weight.gain","Final.weight",0.997308205077036,4.44089209850063e-16
"Final.weight","Specific.growth.rate",0.97933868786844,2.09108730331309e-10
"Feed.conversion.ratio","Specific.growth.rate",-0.622541246574583,0.0131889495800896
"Weight.gain","Specific.growth.rate",0.985663082437276,1.97424299130944e-11
"Percentage.weight.gain","Specific.growth.rate",1,0
"Daily.weight.gain","Specific.growth.rate",0.985663082437276,1.97424299130944e-11
"Final.weight","Feed.conversion.ratio",-0.572203062659005,0.0258155864915015
"Specific.growth.rate","Feed.conversion.ratio",-0.622541246574583,0.0131889495800896
"Weight.gain","Feed.conversion.ratio",-0.60822995354988,0.0161381263580584
"Percentage.weight.gain","Feed.conversion.ratio",-0.622541246574583,0.0131889495800896
"Daily.weight.gain","Feed.conversion.ratio",-0.60822995354988,0.0161381263580584
"Final.weight","Weight.gain",0.997308205077036,4.44089209850063e-16
"Specific.growth.rate","Weight.gain",0.985663082437276,1.97424299130944e-11
"Feed.conversion.ratio","Weight.gain",-0.60822995354988,0.0161381263580584
"Percentage.weight.gain","Weight.gain",0.985663082437276,1.97424299130944e-11
"Daily.weight.gain","Weight.gain",1,0
"Final.weight","Percentage.weight.gain",0.97933868786844,2.09108730331309e-10
"Specific.growth.rate","Percentage.weight.gain",1,0
"Feed.conversion.ratio","Percentage.weight.gain",-0.622541246574583,0.0131889495800896
"Weight.gain","Percentage.weight.gain",0.985663082437276,1.97424299130944e-11
"Daily.weight.gain","Percentage.weight.gain",0.985663082437276,1.97424299130944e-11
"Final.weight","Daily.weight.gain",0.997308205077036,4.44089209850063e-16
"Specific.growth.rate","Daily.weight.gain",0.985663082437276,1.97424299130944e-11
"Feed.conversion.ratio","Daily.weight.gain",-0.60822995354988,0.0161381263580584
"Weight.gain","Daily.weight.gain",1,0
"Percentage.weight.gain","Daily.weight.gain",0.985663082437276,1.97424299130944e-11
